 ;;;;;;;;;;;;
Cyclist Counts on East River Bridge Locations;;;;;;;;;;;;
OCTOBER 2017 24-Hour Counts;;;;;;;;;;;;
Bicycle and Greenway Program;;;;;;;;;;;;
;;;;;;;;;;;;
Date;Day;High Temp (°F);Low Temp (°F);Precipitation;Brooklyn Bridge;Manhattan Bridge;Williamsburg Bridge;Queensboro Bridge;Total;;;
10/1;Sunday;66,9;50,0;0,00;2.297;4.540;5.046;4.092;15.975;;;
10/2;Monday;72,0;52,0;0,00;3.387;7.059;7.616;5.722;23.784;;;
10/3;Tuesday;70,0;57,0;0,00;3.386;7.370;8.161;6.363;25.280;;;
10/4;Wednesday;75,0;55,9;0,00;3.412;7.691;8.136;6.238;25.477;;;
10/5;Thursday;82,0;64,9;0,00;3.312;7.034;7.598;5.998;23.942;;;
10/6;Friday;81,0;69,1;0,00;2.982;6.204;7.336;5.675;22.197;;;
10/7;Saturday;80,1;66,0;0,00;2.750;5.019;5.873;4.576;18.218;;;
10/8;Sunday;77,0;72,0;0,22;1.235;2.450;3.162;2.327;9.174;;;
10/9;Monday;75,9;72,0;0,26;898;2.321;3.079;2.642;8.940;;;
10/10;Tuesday;80,1;66,0;0,00;3.922;7.499;8.208;6.421;26.050;;;
10/11;Wednesday;75,0;64,9;0,06;2.721;5.694;6.683;5.559;20.657;;;
10/12;Thursday;63,0;55,9;0,07;2.411;5.083;6.043;4.603;18.140;;;
10/13;Friday;64,9;52,0;0,00;2.839;5.863;6.612;5.240;20.554;;;
10/14;Saturday;71,1;62,1;0,08;2.021;4.079;4.878;3.734;14.712;;;
10/15;Sunday;72,0;66,0;T;2.169;4.285;4.943;3.793;15.190;;;
10/16;Monday;60,1;52,0;0,01;2.751;5.752;6.391;5.045;19.939;;;
10/17;Tuesday;57,9;43,0;0,00;2.869;6.155;6.612;5.249;20.885;;;
10/18;Wednesday;71,1;50,0;0,00;3.264;6.608;7.398;5.753;23.023;;;
10/19;Thursday;70,0;55,9;0,00;3.265;6.860;7.742;6.167;24.034; ;;
10/20;Friday;73,0;57,9;0,00;3.169;6.286;7.215;5.814;22.484;;;
10/21;Saturday;78,1;57,0;0,00;2.538;4.834;6.167;4.940;18.479;;;
10/22;Sunday;75,9;57,0;0,00;2.744;4.967;5.328;4.474;17.513;;;
10/23;Monday;73,9;64,0;0,00;3.189;6.671;7.096;5.975;22.931;;;
10/24;Tuesday;73,0;66,9;0,20;954;2.614;3.251;2.682;9.501;;;
10/25;Wednesday;64,9;57,9;0,00;3.367;6.720;7.294;5.856;23.237;;;
10/26;Thursday;57,0;53,1;0,00;2.565;5.217;5.958;5.011;18.751;;;
10/27;Friday;62,1;48,0;0,00;3.150;5.610;6.450;5.181;20.391;;;
10/28;Saturday;68,0;55,9;0,00;2.245;4.520;5.104;4.069;15.938;;;
10/29;Sunday;64,9;61,0;3,03;183;661;1.026;965;2.835;;;
10/30;Monday;55,0;46,0;0,25;1.428;2.966;3.547;2.924;10.865;;;
10/31;Tuesday;54,0;44,0;0,00;2.727;5.597;5.894;4.883;19.101;;;
T = trace of precipitation;;;S = snow;;;;;;;;;
;;;;;;;;;;;;
;;2016;2017;;;Average Total Counts for October;2016;2017;Percent Change;;;
;Average High Temp (°F);64,7;69,8;;;All Non-Holiday Weekday;19.277;20.462;6,15%;;;
;Average Low Temp (°F);53,0;57,9;;;Full Month;16.519;18.652;12,91%;;;
;Total Precipitation (in);4,15;4,18;;;Weekend;10.729;14.226;32,60%;;;
;Days with Precip;8;10;;;Selected Days Average;20.681;22.633;9,4%;;;
; Weekdays with Precip;4;6;;;;;;Selected Days Average for the month includes all non-holiday weekdays with no precipitation (highlighted). ;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
